secs,miles,pickup,dropoff,hour,month,day,wday,company_id
3000,0.6,67,45,12,2,1,Fri,0
1440,0.6,67,33,15,3,15,Fri,0
1080,0.5,67,32,11,10,25,Fri,0
1260,6.3,67,56,5,1,1,Tue,1
2280,20.8,67,3,12,1,1,Tue,1
2160,7.9,67,67,14,1,1,Tue,1
1560,0.6,67,8,9,1,2,Wed,1
1440,5.8,67,35,20,1,3,Thu,1
1080,5.1,67,31,14,1,5,Sat,1
1500,5.3,67,43,9,1,7,Mon,1
1200,0.5,67,35,5,1,10,Thu,1
2760,0.6,67,8,16,1,10,Thu,1
780,0.5,67,50,10,1,13,Sun,1
1740,7.2,67,39,20,1,17,Thu,1
720,2.8,67,61,12,1,20,Sun,1
1680,8.6,67,28,18,1,20,Sun,1
720,3.9,67,41,14,1,22,Tue,1
1140,0.5,67,50,9,1,27,Sun,1
1500,4.9,67,73,21,1,28,Mon,1
3840,29.0,67,10,12,1,31,Thu,1
1680,9.5,67,28,11,2,1,Fri,1
1080,5.2,67,49,10,2,3,Sun,1
420,0.5,67,67,15,2,4,Mon,1
1740,6.0,67,71,16,2,4,Mon,1
1380,6.0,67,41,16,2,4,Mon,1
780,3.5,67,65,14,2,7,Thu,1
1200,3.4,67,65,18,2,8,Fri,1
900,0.5,67,50,13,2,9,Sat,1
2400,0.6,67,67,15,2,10,Sun,1
480,3.0,67,73,12,2,11,Mon,1
2460,10.2,67,50,18,2,16,Sat,1
900,0.5,67,50,9,2,17,Sun,1
2820,20.0,67,13,23,2,17,Sun,1
1680,0.8,67,8,10,2,18,Mon,1
2940,22.1,67,3,13,2,18,Mon,1
3780,6.5,67,58,8,2,20,Wed,1
840,9.2,67,8,3,2,22,Fri,1
660,3.3,67,59,13,2,22,Fri,1
2280,18.0,67,25,21,2,22,Fri,1
2880,12.2,67,27,18,2,23,Sat,1
900,0.5,67,50,9,2,24,Sun,1
360,1.3,67,61,14,2,25,Mon,1
1020,6.1,67,31,0,2,27,Wed,1
3180,0.6,67,32,9,2,27,Wed,1
1200,0.5,67,28,11,2,27,Wed,1
1260,12.6,67,28,23,2,27,Wed,1
1320,0.5,67,32,12,2,28,Thu,1
2580,0.6,67,48,16,2,28,Thu,1
960,0.5,67,50,10,3,3,Sun,1
420,1.8,67,61,14,3,4,Mon,1
3840,5.5,67,66,16,3,7,Thu,1
780,0.5,67,50,9,3,10,Sun,1
2460,16.0,67,4,5,3,11,Mon,1
660,2.5,67,68,11,3,12,Tue,1
1080,4.6,67,39,17,3,12,Tue,1
1500,7.7,67,39,20,3,12,Tue,1
2280,0.5,67,67,8,3,13,Wed,1
1320,7.2,67,41,20,3,13,Wed,1
2340,0.5,67,48,16,3,14,Thu,1
1920,4.1,67,71,15,3,15,Fri,1
960,0.5,67,50,9,3,17,Sun,1
1740,8.3,67,28,7,3,18,Mon,1
1200,5.8,67,39,16,3,19,Tue,1
420,2.1,67,69,1,3,20,Wed,1
1440,5.7,67,34,16,3,20,Wed,1
840,6.3,67,34,1,3,22,Fri,1
900,0.5,67,50,9,3,24,Sun,1
840,5.1,67,31,13,3,25,Mon,1
1080,6.2,67,41,19,3,27,Wed,1
480,1.9,67,68,20,3,27,Wed,1
780,0.5,67,50,9,3,31,Sun,1
1020,5.7,67,30,10,4,1,Mon,1
2400,0.6,67,8,16,4,2,Tue,1
3240,12.0,67,32,9,4,3,Wed,1
1200,5.0,67,41,9,4,3,Wed,1
1260,0.5,67,50,10,4,13,Sat,1
1020,0.5,67,50,9,4,14,Sun,1
1260,6.2,67,38,14,4,14,Sun,1
300,1.6,67,61,11,4,17,Wed,1
180,0.7,67,61,21,4,18,Thu,1
1020,3.1,67,68,7,4,19,Fri,1
300,1.2,67,68,23,4,20,Sat,1
900,1.8,67,68,12,4,21,Sun,1
840,5.1,67,31,13,4,23,Tue,1
1680,0.6,67,8,15,4,25,Thu,1
1020,4.5,67,44,20,4,27,Sat,1
1800,9.8,67,28,10,4,30,Tue,1
1680,9.2,67,32,7,5,1,Wed,1
2580,0.7,67,8,9,5,1,Wed,1
1680,9.5,67,32,7,5,2,Thu,1
1380,2.6,67,68,14,5,3,Fri,1
2580,4.6,67,67,20,5,3,Fri,1
960,5.7,67,41,18,5,4,Sat,1
840,0.5,67,50,10,5,5,Sun,1
1620,9.5,67,32,7,5,6,Mon,1
1980,11.2,67,24,11,5,6,Mon,1
2160,10.0,67,32,9,5,8,Wed,1
480,2.5,67,68,12,5,9,Thu,1
1140,5.5,67,67,13,5,9,Thu,1
1200,8.2,67,28,15,5,9,Thu,1
1140,6.0,67,41,16,5,9,Thu,1
300,1.7,67,61,19,5,9,Thu,1
780,0.5,67,50,9,5,12,Sun,1
1860,0.5,67,32,7,5,13,Mon,1
2580,0.6,67,32,7,5,14,Tue,1
1920,0.5,67,32,7,5,14,Tue,1
2640,9.5,67,45,21,5,14,Tue,1
1740,0.5,67,32,7,5,15,Wed,1
1920,0.5,67,32,7,5,16,Thu,1
1380,0.5,67,28,11,5,17,Fri,1
300,1.2,67,61,10,5,18,Sat,1
960,10.7,67,28,6,5,19,Sun,1
960,0.5,67,50,9,5,19,Sun,1
1920,9.4,67,32,7,5,20,Mon,1
3180,0.8,67,8,9,5,21,Tue,1
1860,0.5,67,32,7,5,22,Wed,1
3360,0.8,67,6,5,5,23,Thu,1
2100,0.5,67,32,7,5,23,Thu,1
2760,0.5,67,40,16,5,23,Thu,1
1980,0.5,67,32,7,5,24,Fri,1
1320,5.2,67,41,14,5,24,Fri,1
1080,11.2,67,24,0,5,26,Sun,1
1560,0.5,67,58,5,5,28,Tue,1
1860,0.5,67,32,7,5,28,Tue,1
2040,0.5,67,32,7,5,29,Wed,1
960,6.0,67,49,9,5,29,Wed,1
900,0.5,67,50,10,6,2,Sun,1
540,1.8,67,67,12,6,2,Sun,1
2400,9.5,67,32,9,6,3,Mon,1
1800,0.5,67,32,7,6,4,Tue,1
2160,0.5,67,32,7,6,5,Wed,1
1920,0.5,67,32,7,6,6,Thu,1
1920,0.5,67,32,7,6,7,Fri,1
2760,0.7,67,8,8,6,7,Fri,1
780,0.5,67,50,9,6,9,Sun,1
1200,8.7,67,48,16,6,9,Sun,1
2160,0.5,67,32,7,6,10,Mon,1
1800,0.5,67,32,7,6,11,Tue,1
1860,0.5,67,32,7,6,12,Wed,1
1980,0.5,67,32,7,6,13,Thu,1
2100,0.5,67,32,7,6,14,Fri,1
3780,0.6,67,32,16,6,15,Sat,1
900,0.5,67,50,9,6,16,Sun,1
1740,8.7,67,27,15,6,16,Sun,1
1920,0.5,67,32,7,6,17,Mon,1
900,3.5,67,61,16,6,17,Mon,1
540,1.3,67,67,17,6,17,Mon,1
1920,0.5,67,32,7,6,18,Tue,1
2880,0.7,67,8,8,6,18,Tue,1
1680,0.6,67,67,20,6,18,Tue,1
2220,0.5,67,32,7,6,19,Wed,1
3660,7.8,67,62,18,6,19,Wed,1
2220,0.5,67,32,7,6,20,Thu,1
1980,0.5,67,32,7,6,21,Fri,1
2100,9.3,67,32,15,6,21,Fri,1
2880,10.2,67,32,15,6,22,Sat,1
2040,0.5,67,32,7,6,24,Mon,1
1980,0.5,67,32,7,6,25,Tue,1
5220,33.8,67,3,12,6,25,Tue,1
1080,5.0,67,41,12,6,25,Tue,1
2100,0.5,67,32,7,6,26,Wed,1
2700,0.8,67,8,8,6,27,Thu,1
720,2.9,67,37,11,6,27,Thu,1
2100,8.8,67,28,12,6,27,Thu,1
1680,0.5,67,37,2,6,28,Fri,1
1920,0.5,67,32,7,6,28,Fri,1
1740,0.5,67,32,7,7,1,Mon,1
1500,5.0,67,41,18,7,1,Mon,1
1920,0.5,67,32,7,7,2,Tue,1
2220,0.6,67,8,9,7,2,Tue,1
2340,0.5,67,32,7,7,3,Wed,1
1200,8.5,67,34,20,7,3,Wed,1
1680,0.5,67,32,7,7,5,Fri,1
1020,0.5,67,50,10,7,7,Sun,1
2400,6.0,67,41,16,7,7,Sun,1
1980,0.5,67,32,7,7,8,Mon,1
2100,0.5,67,32,7,7,9,Tue,1
2520,16.8,67,11,10,7,9,Tue,1
2100,0.5,67,32,7,7,10,Wed,1
2220,18.0,67,77,20,7,10,Wed,1
2160,0.7,67,28,16,7,11,Thu,1
900,5.4,67,38,16,7,12,Fri,1
1140,6.7,67,44,21,7,13,Sat,1
960,6.1,67,38,14,7,14,Sun,1
420,1.7,67,69,16,7,14,Sun,1
1080,5.0,67,41,17,7,17,Wed,1
1080,5.1,67,69,14,7,18,Thu,1
300,0.7,67,67,1,7,20,Sat,1
2520,3.3,67,63,20,7,21,Sun,1
2280,0.6,67,8,8,7,22,Mon,1
1980,0.6,67,33,13,7,24,Wed,1
720,2.9,67,37,12,7,26,Fri,1
900,6.2,67,34,20,7,26,Fri,1
960,0.5,67,50,9,7,28,Sun,1
4020,1.6,67,66,16,7,28,Sun,1
600,3.9,67,70,4,8,4,Sun,1
780,0.5,67,50,9,8,4,Sun,1
1080,4.8,67,69,14,8,6,Tue,1
4980,13.5,67,62,17,8,6,Tue,1
1500,0.9,67,67,20,8,6,Tue,1
2280,10.4,67,28,12,8,7,Wed,1
1980,5.0,67,67,19,8,9,Fri,1
960,0.5,67,50,10,8,11,Sun,1
1500,7.8,67,28,8,8,13,Tue,1
1740,0.8,67,7,11,8,16,Fri,1
2400,10.1,67,26,16,8,16,Fri,1
300,0.9,67,67,20,8,16,Fri,1
1560,6.6,67,41,11,8,17,Sat,1
1620,9.6,67,8,17,8,17,Sat,1
1740,0.5,67,50,10,8,18,Sun,1
1020,5.6,67,38,16,8,18,Sun,1
720,6.8,67,35,21,8,19,Mon,1
1200,4.6,67,58,9,8,20,Tue,1
840,2.2,67,67,21,8,22,Thu,1
900,0.5,67,50,10,8,25,Sun,1
2160,7.9,67,28,9,8,26,Mon,1
900,4.3,67,40,15,8,26,Mon,1
1080,0.9,67,67,1,8,28,Wed,1
480,0.8,67,67,11,8,29,Thu,1
2760,16.4,67,25,23,8,29,Thu,1
2100,9.8,67,26,15,8,30,Fri,1
2520,1.6,67,67,2,8,31,Sat,1
120,0.7,67,67,11,8,31,Sat,1
1740,0.6,67,26,14,8,31,Sat,1
960,0.5,67,50,10,9,1,Sun,1
840,5.2,67,44,13,9,1,Sun,1
960,5.1,67,38,15,9,1,Sun,1
1140,9.2,67,34,20,9,4,Wed,1
1800,8.2,67,45,12,9,6,Fri,1
1320,5.4,67,71,20,9,6,Fri,1
1320,5.1,67,43,18,9,7,Sat,1
900,0.5,67,50,10,9,8,Sun,1
1020,2.4,67,68,9,9,9,Mon,1
420,1.8,67,68,12,9,10,Tue,1
1620,8.5,67,28,17,9,11,Wed,1
480,2.8,67,68,12,9,12,Thu,1
1020,0.5,67,50,9,9,15,Sun,1
1680,9.8,67,26,13,9,15,Sun,1
1020,0.5,67,33,10,9,21,Sat,1
1200,4.7,67,38,18,9,21,Sat,1
3480,5.5,67,41,18,9,21,Sat,1
960,0.5,67,50,9,9,22,Sun,1
1560,6.5,67,29,10,9,26,Thu,1
360,1.3,67,61,11,9,28,Sat,1
840,0.5,67,50,9,9,29,Sun,1
1560,5.9,67,41,19,10,1,Tue,1
1020,6.7,67,31,22,10,5,Sat,1
1140,7.1,67,35,11,10,6,Sun,1
1260,3.2,67,71,13,10,7,Mon,1
960,5.6,67,41,18,10,10,Thu,1
1380,6.4,67,28,12,10,11,Fri,1
3180,7.3,67,69,15,10,11,Fri,1
1620,0.5,67,35,18,10,11,Fri,1
1440,5.9,67,41,11,10,12,Sat,1
600,2.1,67,42,16,10,12,Sat,1
960,5.1,67,70,19,10,12,Sat,1
600,3.8,67,42,12,10,13,Sun,1
780,3.7,67,69,11,10,15,Tue,1
1020,3.8,67,41,8,10,16,Wed,1
2280,18.9,67,3,13,10,16,Wed,1
540,2.9,67,66,2,10,17,Thu,1
840,0.5,67,50,9,10,20,Sun,1
1140,2.5,67,68,11,10,20,Sun,1
5940,9.1,67,56,18,10,21,Mon,1
1080,4.2,67,63,12,10,24,Thu,1
300,1.0,67,61,7,10,25,Fri,1
