secs,miles,pickup,dropoff,hour,month,day,wday,company_id
872,5.85,14,24,1,1,1,Tue,31
352,2.25,24,28,1,1,1,Tue,31
473,1.44,28,8,1,1,1,Tue,31
540,2.25,8,7,1,1,1,Tue,31
476,1.58,7,6,2,1,1,Tue,31
467,2.5,7,28,2,1,1,Tue,31
246,0.75,28,28,2,1,1,Tue,31
141,0.88,28,28,2,1,1,Tue,31
497,1.07,28,8,3,1,1,Tue,31
238,0.5,8,8,3,1,1,Tue,31
1168,7.79,8,4,3,1,1,Tue,31
1706,16.47,8,70,6,1,1,Tue,31
446,4.78,22,8,11,1,1,Tue,31
431,1.4,32,8,11,1,1,Tue,31
1393,15.92,76,7,12,1,1,Tue,31
610,1.96,28,8,12,1,1,Tue,31
269,0.72,8,8,12,1,1,Tue,31
1445,9.38,8,13,12,1,1,Tue,31
369,1.28,22,22,13,1,1,Tue,31
4334,31.1,76,8,16,1,1,Tue,31
796,2.36,15,15,17,1,1,Tue,31
1076,10.88,76,4,20,1,1,Tue,31
1412,16.36,76,8,21,1,1,Tue,31
889,10.68,56,33,23,1,1,Tue,31
908,11.62,56,8,1,1,2,Wed,31
630,8.38,16,28,2,1,2,Wed,31
200,1.26,22,24,3,1,2,Wed,31
600,4.91,16,24,3,1,2,Wed,31
445,1.5,28,32,11,1,2,Wed,31
207,0.66,28,8,12,1,2,Wed,31
1854,17.77,76,8,12,1,2,Wed,31
295,0.63,8,8,13,1,2,Wed,31
621,1.7,8,32,13,1,2,Wed,31
223,0.67,32,28,15,1,2,Wed,31
842,2.78,28,33,15,1,2,Wed,31
635,1.12,32,32,16,1,2,Wed,31
252,0.5,32,32,16,1,2,Wed,31
307,0.7,32,28,16,1,2,Wed,31
510,0.9,8,32,16,1,2,Wed,31
1028,2.17,32,8,17,1,2,Wed,31
448,2.1,32,28,17,1,2,Wed,31
694,1.7,28,32,17,1,2,Wed,31
413,0.9,32,8,17,1,2,Wed,31
328,0.6,32,32,17,1,2,Wed,31
714,1.7,32,8,18,1,2,Wed,31
664,3.2,8,7,19,1,2,Wed,31
293,0.7,8,8,19,1,2,Wed,31
1602,17.66,76,8,19,1,2,Wed,31
526,4.7,8,3,19,1,2,Wed,31
1725,13.9,76,77,23,1,2,Wed,31
226,1.17,4,2,0,1,3,Thu,31
596,3.91,16,15,1,1,3,Thu,31
1499,10.72,28,61,7,1,3,Thu,31
606,2.36,33,28,8,1,3,Thu,31
326,1.9,28,28,10,1,3,Thu,31
711,4.17,28,38,10,1,3,Thu,31
203,0.7,11,15,15,1,3,Thu,31
675,1.99,11,10,18,1,3,Thu,31
1388,15.15,76,24,19,1,3,Thu,31
424,1.34,24,28,20,1,3,Thu,31
392,1.39,28,8,20,1,3,Thu,31
250,1.87,8,24,20,1,3,Thu,31
469,1.07,28,28,21,1,3,Thu,31
560,1.72,28,8,22,1,3,Thu,31
561,1.17,8,32,22,1,3,Thu,31
1458,16.55,76,8,22,1,3,Thu,31
217,0.67,8,8,23,1,3,Thu,31
1021,12.96,28,2,5,1,4,Fri,31
