secs,miles,pickup,dropoff,hour,month,day,wday,company_id
230,1.0,32,28,0,1,1,Tue,21
900,8.7,32,28,1,1,1,Tue,21
749,2.5,32,28,8,1,1,Tue,21
785,2.4,8,28,19,1,1,Tue,21
1395,16.3,76,28,20,1,1,Tue,21
359,1.7,24,28,22,1,1,Tue,21
302,0.7,32,28,7,1,2,Wed,21
770,5.2,26,28,8,1,2,Wed,21
311,0.9,32,28,8,1,2,Wed,21
344,1.5,32,28,9,1,2,Wed,21
360,0.9,28,28,10,1,2,Wed,21
284,0.7,28,28,10,1,2,Wed,21
1515,17.6,76,28,11,1,2,Wed,21
1352,9.9,41,28,12,1,2,Wed,21
660,1.3,32,28,13,1,2,Wed,21
300,0.9,32,28,13,1,2,Wed,21
180,0.6,28,28,13,1,2,Wed,21
383,1.0,32,28,14,1,2,Wed,21
814,2.4,8,28,15,1,2,Wed,21
322,0.9,32,28,15,1,2,Wed,21
349,0.6,32,28,16,1,2,Wed,21
1283,1.7,8,28,18,1,2,Wed,21
482,0.5,32,28,18,1,2,Wed,21
702,1.2,24,28,19,1,2,Wed,21
725,2.6,8,28,20,1,2,Wed,21
2820,32.1,28,28,21,1,2,Wed,21
198,0.7,28,28,21,1,2,Wed,21
943,0.8,28,28,2,1,3,Thu,21
845,3.4,24,28,2,1,3,Thu,21
762,4.7,27,28,5,1,3,Thu,21
180,0.9,32,28,6,1,3,Thu,21
272,1.0,32,28,7,1,3,Thu,21
270,1.5,8,28,8,1,3,Thu,21
600,1.7,32,28,8,1,3,Thu,21
628,1.3,32,28,8,1,3,Thu,21
240,0.6,28,28,8,1,3,Thu,21
439,2.5,32,28,8,1,3,Thu,21
995,1.8,8,28,9,1,3,Thu,21
1468,11.5,3,28,10,1,3,Thu,21
656,2.5,8,28,10,1,3,Thu,21
397,1.1,32,28,11,1,3,Thu,21
1009,5.0,25,28,11,1,3,Thu,21
420,1.2,32,28,12,1,3,Thu,21
261,0.7,32,28,12,1,3,Thu,21
446,1.1,32,28,13,1,3,Thu,21
960,2.1,8,28,13,1,3,Thu,21
300,0.7,28,28,13,1,3,Thu,21
458,0.8,32,28,14,1,3,Thu,21
518,1.9,8,28,14,1,3,Thu,21
695,1.7,32,28,14,1,3,Thu,21
720,2.5,32,28,14,1,3,Thu,21
609,1.5,8,28,15,1,3,Thu,21
578,1.4,8,28,15,1,3,Thu,21
813,2.5,33,28,15,1,3,Thu,21
229,0.7,32,28,15,1,3,Thu,21
634,1.7,8,28,16,1,3,Thu,21
449,1.1,32,28,17,1,3,Thu,21
437,0.9,32,28,18,1,3,Thu,21
244,0.6,32,28,18,1,3,Thu,21
289,0.6,32,28,19,1,3,Thu,21
780,1.8,32,28,19,1,3,Thu,21
416,1.4,32,28,19,1,3,Thu,21
434,0.9,32,28,20,1,3,Thu,21
396,1.3,8,28,20,1,3,Thu,21
1080,15.8,76,28,23,1,3,Thu,21
368,2.1,28,28,1,1,4,Fri,21
691,2.6,28,28,3,1,4,Fri,21
240,1.0,32,28,6,1,4,Fri,21
540,2.2,28,28,6,1,4,Fri,21
361,0.6,32,28,7,1,4,Fri,21
300,0.8,32,28,7,1,4,Fri,21
265,1.6,32,28,8,1,4,Fri,21
360,1.0,32,28,8,1,4,Fri,21
256,1.0,28,28,8,1,4,Fri,21
415,1.5,8,28,8,1,4,Fri,21
294,0.7,32,28,8,1,4,Fri,21
532,0.9,32,28,9,1,4,Fri,21
222,0.7,28,28,9,1,4,Fri,21
771,1.2,32,28,10,1,4,Fri,21
1095,4.3,8,28,10,1,4,Fri,21
2139,1.7,32,28,10,1,4,Fri,21
457,2.2,32,28,10,1,4,Fri,21
701,2.0,8,28,11,1,4,Fri,21
281,0.8,32,28,11,1,4,Fri,21
387,0.8,32,28,11,1,4,Fri,21
926,1.7,28,28,11,1,4,Fri,21
586,1.8,32,28,12,1,4,Fri,21
451,1.3,32,28,12,1,4,Fri,21
702,1.7,8,28,12,1,4,Fri,21
465,0.8,32,28,12,1,4,Fri,21
711,2.3,7,28,12,1,4,Fri,21
599,2.7,32,28,12,1,4,Fri,21
355,0.9,32,28,13,1,4,Fri,21
240,0.9,32,28,13,1,4,Fri,21
720,1.4,32,28,13,1,4,Fri,21
1865,17.1,76,28,14,1,4,Fri,21
