secs,miles,pickup,dropoff,hour,month,day,wday,company_id
553,5.06,39,33,12,1,1,Tue,11
1075,10.0,39,73,13,1,1,Tue,11
436,2.25,39,37,7,1,2,Wed,11
424,3.6,39,33,7,1,2,Wed,11
602,2.86,39,68,9,1,2,Wed,11
1281,10.9,39,26,10,1,2,Wed,11
751,7.2,39,8,12,1,2,Wed,11
907,7.6,39,28,14,1,2,Wed,11
604,0.9,39,36,19,1,2,Wed,11
724,2.22,39,38,10,1,3,Thu,11
372,3.2,39,43,11,1,3,Thu,11
1574,13.8,39,77,13,1,3,Thu,11
153,1.9,39,35,8,1,4,Fri,11
759,6.3,39,32,9,1,4,Fri,11
445,1.75,39,38,14,1,4,Fri,11
496,1.19,39,40,23,1,4,Fri,11
294,2.3,39,35,2,1,5,Sat,11
618,8.04,39,7,3,1,5,Sat,11
1709,13.6,39,77,16,1,5,Sat,11
818,5.6,39,69,9,1,6,Sun,11
655,0.9,39,39,13,1,6,Sun,11
1429,7.2,39,8,7,1,7,Mon,11
1843,6.3,39,32,8,1,7,Mon,11
1076,7.11,39,8,10,1,7,Mon,11
1622,11.44,39,22,10,1,7,Mon,11
654,0.8,39,41,19,1,7,Mon,11
449,2.07,39,41,7,1,8,Tue,11
851,7.7,39,49,9,1,8,Tue,11
819,1.85,39,38,10,1,8,Tue,11
795,1.84,39,41,12,1,8,Tue,11
1718,14.02,39,77,8,1,9,Wed,11
689,6.27,39,8,10,1,9,Wed,11
612,2.22,39,38,11,1,9,Wed,11
1227,6.9,39,8,12,1,9,Wed,11
1907,17.0,39,2,9,1,10,Thu,11
989,6.7,39,32,12,1,10,Thu,11
2154,13.66,39,53,17,1,10,Thu,11
1019,7.7,39,8,20,1,10,Thu,11
939,5.13,39,44,7,1,11,Fri,11
1265,6.9,39,8,7,1,11,Fri,11
757,5.29,39,33,9,1,11,Fri,11
1509,6.25,39,58,9,1,11,Fri,11
1960,15.74,39,37,10,1,11,Fri,11
1440,13.11,39,3,11,1,11,Fri,11
414,1.75,39,38,14,1,11,Fri,11
610,8.4,39,30,23,1,11,Fri,11
1967,3.96,39,69,8,1,12,Sat,11
1609,4.77,39,38,10,1,12,Sat,11
219,3.1,39,42,4,1,13,Sun,11
1230,14.0,39,56,5,1,13,Sun,11
1907,24.48,39,76,7,1,13,Sun,11
535,2.4,39,42,11,1,13,Sun,11
499,1.86,39,39,17,1,13,Sun,11
2018,17.11,39,25,18,1,13,Sun,11
257,1.1,39,39,19,1,13,Sun,11
655,4.4,39,33,7,1,14,Mon,11
1277,14.3,39,54,9,1,14,Mon,11
942,6.28,39,32,10,1,14,Mon,11
586,3.7,39,42,12,1,14,Mon,11
984,6.37,39,8,13,1,14,Mon,11
338,1.0,39,41,14,1,14,Mon,11
136,0.64,39,39,14,1,14,Mon,11
279,1.09,39,39,18,1,14,Mon,11
405,0.87,39,38,9,1,15,Tue,11
1103,6.94,39,8,11,1,15,Tue,11
1832,24.74,39,76,3,1,16,Wed,11
1696,24.2,39,76,4,1,16,Wed,11
1829,10.3,39,64,7,1,16,Wed,11
933,4.72,39,63,10,1,16,Wed,11
2112,10.6,39,23,17,1,16,Wed,11
565,2.5,39,35,21,1,16,Wed,11
309,0.89,39,39,22,1,16,Wed,11
706,4.7,39,34,7,1,17,Thu,11
1892,8.1,39,71,8,1,17,Thu,11
1314,12.84,39,56,9,1,17,Thu,11
2073,24.6,39,76,12,1,17,Thu,11
1099,13.18,39,77,5,1,18,Fri,11
394,1.14,39,39,15,1,18,Fri,11
1520,7.1,39,47,15,1,18,Fri,11
1672,7.8,39,69,16,1,18,Fri,11
789,5.0,39,34,17,1,18,Fri,11
746,5.17,39,33,18,1,18,Fri,11
1408,3.91,39,33,10,1,19,Sat,11
264,0.68,39,39,15,1,19,Sat,11
342,0.7,39,39,17,1,19,Sat,11
1060,11.7,39,75,9,1,20,Sun,11
963,9.5,39,50,13,1,20,Sun,11
389,0.8,39,41,15,1,20,Sun,11
778,6.27,39,32,11,1,21,Mon,11
456,1.4,39,38,13,1,21,Mon,11
574,5.1,39,34,20,1,21,Mon,11
1007,5.3,39,67,6,1,22,Tue,11
1045,6.5,39,8,7,1,22,Tue,11
949,3.12,39,61,8,1,22,Tue,11
1576,6.76,39,32,9,1,22,Tue,11
1154,7.27,39,8,9,1,22,Tue,11
2506,12.0,39,65,11,1,22,Tue,11
1909,14.63,39,53,11,1,22,Tue,11
941,9.5,39,27,5,1,23,Wed,11
1080,6.81,39,8,10,1,23,Wed,11
250,0.9,39,38,10,1,23,Wed,11
1249,8.96,39,8,11,1,23,Wed,11
1092,7.2,39,8,12,1,23,Wed,11
950,6.1,39,28,13,1,23,Wed,11
830,1.5,39,41,15,1,23,Wed,11
312,0.8,39,41,15,1,23,Wed,11
286,0.79,39,39,17,1,23,Wed,11
480,1.6,39,36,18,1,23,Wed,11
967,8.49,39,8,21,1,23,Wed,11
426,2.1,39,40,7,1,24,Thu,11
565,2.08,39,38,11,1,24,Thu,11
603,1.6,39,39,12,1,24,Thu,11
402,0.5,39,39,14,1,24,Thu,11
308,1.8,39,40,14,1,24,Thu,11
2630,15.2,39,1,21,1,24,Thu,11
1316,13.68,39,56,6,1,25,Fri,11
458,2.0,39,35,10,1,25,Fri,11
203,0.61,39,39,13,1,25,Fri,11
308,0.97,39,39,13,1,25,Fri,11
371,1.27,39,38,13,1,25,Fri,11
414,0.77,39,41,13,1,25,Fri,11
1175,9.18,39,29,5,1,26,Sat,11
711,6.3,39,44,8,1,27,Sun,11
878,1.6,39,41,9,1,28,Mon,11
671,3.4,39,35,9,1,28,Mon,11
495,1.76,39,37,13,1,28,Mon,11
852,2.5,39,39,22,1,28,Mon,11
1081,6.9,39,32,13,1,29,Tue,11
335,1.5,39,40,14,1,30,Wed,11
879,7.5,39,8,15,1,30,Wed,11
932,9.8,39,8,6,1,31,Thu,11
1198,10.6,39,28,8,1,31,Thu,11
2227,17.9,39,2,11,1,31,Thu,11
1175,5.6,39,63,8,2,1,Fri,11
1178,5.9,39,32,8,2,1,Fri,11
861,5.8,39,32,9,2,1,Fri,11
511,1.71,39,38,12,2,1,Fri,11
998,2.2,39,42,18,2,1,Fri,11
642,4.04,39,33,9,2,2,Sat,11
453,1.1,39,38,14,2,2,Sat,11
246,0.5,39,38,15,2,2,Sat,11
1139,5.09,39,69,16,2,2,Sat,11
290,1.1,39,38,7,2,3,Sun,11
945,2.04,39,38,7,2,3,Sun,11
375,1.19,39,38,8,2,3,Sun,11
901,6.63,39,32,13,2,3,Sun,11
1794,13.68,39,53,14,2,3,Sun,11
505,1.74,39,38,18,2,3,Sun,11
987,4.45,39,33,19,2,3,Sun,11
1327,13.24,39,56,10,2,4,Mon,11
400,3.7,39,33,10,2,4,Mon,11
988,6.68,39,8,12,2,4,Mon,11
391,1.08,39,41,12,2,4,Mon,11
1023,5.0,39,69,14,2,4,Mon,11
246,0.7,39,39,15,2,4,Mon,11
1265,4.64,39,43,15,2,4,Mon,11
960,6.47,39,8,16,2,4,Mon,11
721,9.0,39,28,4,2,5,Tue,11
1537,6.78,39,8,8,2,5,Tue,11
439,2.08,39,38,10,2,5,Tue,11
1009,6.66,39,8,11,2,5,Tue,11
488,0.82,39,41,17,2,5,Tue,11
