secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1800,1.3,76,60,19,1,2,Wed,0
900,0.6,56,60,22,1,2,Wed,0
1800,1.3,76,60,21,1,5,Sat,0
900,5.6,32,60,13,1,18,Fri,0
2460,2.0,76,60,9,1,25,Fri,0
1980,1.3,76,60,21,2,9,Sat,0
1680,20.1,76,60,1,2,17,Sun,0
1140,0.6,56,60,23,2,17,Sun,0
3060,1.3,76,60,16,2,23,Sat,0
1800,0.8,56,60,14,2,24,Sun,0
1680,0.6,56,60,17,2,28,Thu,0
2580,1.3,76,60,21,3,7,Thu,0
1140,0.5,56,60,20,3,8,Fri,0
1800,1.2,76,60,0,3,15,Fri,0
2160,1.2,76,60,19,3,23,Sat,0
1620,0.9,1,60,12,4,3,Wed,0
3840,1.3,76,60,17,4,3,Wed,0
960,0.6,56,60,21,4,17,Wed,0
1560,1.2,76,60,1,4,22,Mon,0
1920,1.3,76,60,22,4,23,Tue,0
2760,1.2,76,60,22,4,25,Thu,0
2220,1.2,76,60,13,5,2,Thu,0
2520,1.3,76,60,11,5,11,Sat,0
2400,0.5,28,60,16,5,16,Thu,0
1200,0.5,7,60,20,6,4,Tue,0
1320,0.7,77,60,8,6,7,Fri,0
2220,1.3,76,60,7,6,9,Sun,0
4680,1.2,76,60,18,6,10,Mon,0
1980,1.2,76,60,0,6,12,Wed,0
2100,1.3,76,60,22,6,17,Mon,0
1260,0.6,7,60,22,6,20,Thu,0
1620,1.3,76,60,1,6,25,Tue,0
1200,0.5,28,60,20,6,30,Sun,0
4320,1.3,76,60,16,7,2,Tue,0
1860,0.5,8,60,18,7,2,Tue,0
660,2.9,28,60,11,7,3,Wed,0
1140,0.6,7,60,22,7,8,Mon,0
3960,1.2,76,60,19,7,18,Thu,0
960,0.5,56,60,1,7,21,Sun,0
1140,6.2,32,60,8,7,22,Mon,0
5160,1.3,76,60,18,7,25,Thu,0
1500,0.5,8,60,20,7,31,Wed,0
960,0.6,56,60,21,8,6,Tue,0
1740,0.6,8,60,18,8,11,Sun,0
1200,0.6,6,60,23,8,11,Sun,0
1620,6.7,8,60,20,8,19,Mon,0
2880,1.2,76,60,9,8,20,Tue,0
2460,1.3,76,60,22,8,21,Wed,0
1140,4.8,32,60,20,8,22,Thu,0
2880,1.6,76,60,13,8,23,Fri,0
1560,1.2,76,60,0,8,26,Mon,0
2580,1.3,76,60,20,8,29,Thu,0
1380,0.5,56,60,19,9,6,Fri,0
840,6.5,8,60,19,9,12,Thu,0
4320,1.2,76,60,17,9,16,Mon,0
1980,1.3,76,60,21,9,16,Mon,0
2340,2.1,76,60,20,9,18,Wed,0
3600,1.2,76,60,16,9,19,Thu,0
840,5.2,32,60,19,9,20,Fri,0
780,5.1,33,60,19,9,20,Fri,0
1380,1.3,76,60,2,9,27,Fri,0
3540,1.3,76,60,20,10,17,Thu,0
2880,1.1,76,60,20,10,17,Thu,0
2580,1.4,76,60,11,10,18,Fri,0
1140,7.3,8,60,17,10,28,Mon,0
1020,0.6,56,60,21,11,1,Fri,0
2880,1.2,76,60,21,11,14,Thu,0
840,3.1,33,60,20,11,25,Mon,0
2460,1.3,76,60,20,11,25,Mon,0
1680,1.2,76,60,22,12,3,Tue,0
2040,1.3,76,60,22,12,5,Thu,0
4140,1.3,76,60,8,12,10,Tue,0
1620,1.3,76,60,1,12,20,Fri,0
1260,0.5,8,60,3,12,22,Sun,0
900,3.8,32,60,2,1,1,Tue,1
600,3.0,28,60,2,1,1,Tue,1
480,2.3,28,60,2,1,1,Tue,1
2280,0.6,8,60,4,1,1,Tue,1
480,5.1,28,60,17,1,1,Tue,1
1560,21.8,76,60,19,1,1,Tue,1
600,2.9,28,60,21,1,1,Tue,1
720,2.9,28,60,1,1,2,Wed,1
960,6.1,8,60,13,1,2,Wed,1
840,4.6,28,60,15,1,2,Wed,1
600,2.4,33,60,15,1,2,Wed,1
1140,3.2,32,60,20,1,2,Wed,1
540,3.5,32,60,21,1,2,Wed,1
720,4.0,32,60,23,1,2,Wed,1
420,2.7,28,60,0,1,3,Thu,1
420,2.9,38,60,10,1,3,Thu,1
660,2.7,32,60,12,1,3,Thu,1
1320,4.2,32,60,16,1,3,Thu,1
840,4.3,8,60,21,1,3,Thu,1
1500,20.7,76,60,6,1,4,Fri,1
1140,4.7,8,60,13,1,4,Fri,1
660,2.1,33,60,16,1,4,Fri,1
1200,4.8,32,60,16,1,4,Fri,1
540,2.1,59,60,17,1,4,Fri,1
1440,5.7,8,60,17,1,4,Fri,1
1020,5.9,8,60,20,1,4,Fri,1
1200,4.4,32,60,22,1,4,Fri,1
840,6.1,8,60,0,1,5,Sat,1
720,7.9,8,60,4,1,5,Sat,1
600,6.0,8,60,4,1,6,Sun,1
780,3.2,33,60,20,1,6,Sun,1
900,6.1,8,60,1,1,7,Mon,1
1080,4.6,28,60,10,1,7,Mon,1
840,3.8,32,60,14,1,7,Mon,1
720,3.2,33,60,15,1,7,Mon,1
660,3.2,28,60,1,1,8,Tue,1
240,1.1,35,60,10,1,8,Tue,1
480,1.0,60,60,10,1,8,Tue,1
1020,3.9,28,60,12,1,8,Tue,1
660,4.9,32,60,13,1,8,Tue,1
300,1.0,60,60,13,1,8,Tue,1
300,1.0,33,60,14,1,8,Tue,1
780,3.4,32,60,19,1,8,Tue,1
1020,6.4,8,60,22,1,8,Tue,1
780,5.6,32,60,11,1,9,Wed,1
360,1.6,60,60,13,1,9,Wed,1
1560,7.5,8,60,15,1,9,Wed,1
1020,3.2,28,60,18,1,9,Wed,1
960,5.4,8,60,19,1,9,Wed,1
780,6.5,32,60,20,1,9,Wed,1
1080,4.3,32,60,22,1,9,Wed,1
720,6.3,32,60,21,1,10,Thu,1
180,0.5,60,60,22,1,10,Thu,1
600,5.0,32,60,22,1,10,Thu,1
660,6.1,32,60,22,1,10,Thu,1
660,2.7,33,60,9,1,11,Fri,1
1500,6.6,32,60,11,1,11,Fri,1
1260,4.2,32,60,17,1,11,Fri,1
1020,5.1,28,60,23,1,11,Fri,1
840,7.3,8,60,1,1,12,Sat,1
600,2.9,28,60,1,1,12,Sat,1
780,7.1,8,60,2,1,12,Sat,1
660,7.1,8,60,3,1,12,Sat,1
720,2.6,60,60,8,1,12,Sat,1
3300,8.3,32,60,21,1,12,Sat,1
1320,4.4,28,60,2,1,13,Sun,1
1020,6.8,8,60,2,1,13,Sun,1
660,6.8,8,60,4,1,13,Sun,1
1140,0.5,8,60,4,1,13,Sun,1
1080,5.1,8,60,13,1,13,Sun,1
180,0.8,59,60,17,1,13,Sun,1
1380,7.9,8,60,13,1,14,Mon,1
1080,7.0,56,60,13,1,14,Mon,1
600,2.5,33,60,14,1,14,Mon,1
960,4.4,32,60,15,1,14,Mon,1
420,1.3,35,60,17,1,14,Mon,1
1020,4.9,28,60,18,1,14,Mon,1
3000,1.2,76,60,18,1,14,Mon,1
3240,1.2,76,60,19,1,14,Mon,1
540,3.4,33,60,1,1,15,Tue,1
780,3.1,28,60,2,1,15,Tue,1
420,2.6,33,60,7,1,15,Tue,1
120,0.5,60,60,9,1,15,Tue,1
660,4.3,28,60,10,1,15,Tue,1
240,1.0,60,60,11,1,15,Tue,1
720,5.8,32,60,11,1,15,Tue,1
1080,10.0,49,60,14,1,15,Tue,1
660,2.9,32,60,14,1,15,Tue,1
1320,5.5,29,60,15,1,15,Tue,1
2400,1.3,76,60,15,1,15,Tue,1
960,4.7,8,60,18,1,15,Tue,1
840,6.7,8,60,20,1,15,Tue,1
1080,8.0,56,60,23,1,15,Tue,1
660,3.0,28,60,1,1,16,Wed,1
600,5.2,32,60,3,1,16,Wed,1
540,7.9,64,60,3,1,16,Wed,1
180,0.9,34,60,14,1,16,Wed,1
2400,21.8,76,60,15,1,16,Wed,1
840,2.7,28,60,17,1,16,Wed,1
900,5.8,32,60,20,1,16,Wed,1
660,3.1,28,60,5,1,17,Thu,1
480,1.3,35,60,13,1,17,Thu,1
600,2.3,28,60,15,1,17,Thu,1
1200,6.3,32,60,17,1,17,Thu,1
2100,21.9,76,60,22,1,17,Thu,1
720,7.0,8,60,0,1,18,Fri,1
60,1.1,59,60,11,1,18,Fri,1
720,3.0,28,60,14,1,18,Fri,1
1140,3.3,28,60,16,1,18,Fri,1
1020,4.8,8,60,21,1,18,Fri,1
1140,6.2,8,60,21,1,18,Fri,1
540,2.1,33,60,1,1,19,Sat,1
780,6.2,8,60,2,1,19,Sat,1
840,6.0,8,60,3,1,19,Sat,1
900,5.4,32,60,9,1,19,Sat,1
360,1.0,60,60,15,1,19,Sat,1
960,4.3,28,60,21,1,19,Sat,1
780,5.1,28,60,0,1,20,Sun,1
1800,10.7,22,60,0,1,20,Sun,1
420,4.7,28,60,2,1,20,Sun,1
840,3.3,28,60,2,1,20,Sun,1
960,3.7,32,60,4,1,20,Sun,1
1020,0.6,56,60,16,1,20,Sun,1
1020,9.7,56,60,18,1,20,Sun,1
