secs,miles,pickup,dropoff,hour,month,day,wday,company_id
1680,0.7,8,69,19,1,3,Thu,0
1260,0.6,32,69,23,1,5,Sat,0
780,0.5,33,69,21,1,14,Mon,0
1080,0.5,28,69,10,1,18,Fri,0
1560,0.6,28,69,19,1,24,Thu,0
2040,0.7,8,69,2,2,2,Sat,0
1320,0.7,24,69,21,2,4,Mon,0
1860,0.6,32,69,15,2,10,Sun,0
1560,0.5,28,69,13,2,14,Thu,0
1140,10.6,32,69,13,2,21,Thu,0
1560,0.7,29,69,13,3,1,Fri,0
960,0.6,8,69,20,3,4,Mon,0
1260,0.6,8,69,19,3,6,Wed,0
6420,1.5,8,69,17,3,8,Fri,0
1560,0.5,28,69,2,3,23,Sat,0
1140,0.6,32,69,21,4,18,Thu,0
1740,0.8,23,69,11,4,20,Sat,0
2400,1.0,7,69,15,4,25,Thu,0
1140,0.8,8,69,0,5,5,Sun,0
1020,0.6,32,69,21,5,6,Mon,0
1020,0.6,32,69,0,5,10,Fri,0
1440,0.9,56,69,23,5,13,Mon,0
900,0.6,8,69,1,5,15,Wed,0
2700,0.7,8,69,13,5,16,Thu,0
960,0.6,33,69,2,5,19,Sun,0
2040,0.7,8,69,16,5,21,Tue,0
1440,0.6,28,69,10,6,1,Sat,0
1140,0.6,32,69,19,6,4,Tue,0
2280,1.0,6,69,16,6,10,Mon,0
1320,0.9,6,69,3,6,19,Wed,0
1920,0.6,45,69,9,6,26,Wed,0
2100,0.6,28,69,17,6,26,Wed,0
1920,0.7,8,69,10,7,1,Mon,0
2100,0.8,32,69,20,7,1,Mon,0
1740,0.9,56,69,13,7,6,Sat,0
4140,1.1,77,69,14,7,6,Sat,0
840,0.5,28,69,13,7,8,Mon,0
2160,0.6,28,69,12,7,13,Sat,0
1020,0.6,32,69,12,7,16,Tue,0
1560,0.9,6,69,0,7,17,Wed,0
2280,0.6,28,69,17,7,17,Wed,0
900,0.6,28,69,9,7,21,Sun,0
3480,1.6,76,69,14,7,21,Sun,0
1560,0.5,28,69,16,7,22,Mon,0
4020,0.6,43,69,14,7,26,Fri,0
3060,1.1,77,69,13,7,27,Sat,0
1260,0.6,28,69,11,7,29,Mon,0
1020,10.6,32,69,20,7,29,Mon,0
