secs,miles,pickup,dropoff,hour,month,day,wday,company_id
720,0.6,11,8,5,1,18,Fri,0
1320,0.5,11,76,4,1,20,Sun,0
6180,0.5,11,76,9,1,22,Tue,0
3360,0.6,11,1,18,1,22,Tue,0
11460,0.7,11,76,10,2,12,Tue,0
3720,0.7,11,33,8,2,28,Thu,0
13260,0.5,11,76,9,2,28,Thu,0
3240,0.7,11,33,8,3,1,Fri,0
3180,1.1,11,42,9,3,18,Mon,0
2340,0.5,11,76,16,6,26,Wed,0
1200,5.6,11,2,22,6,29,Sat,0
3240,0.5,11,76,20,8,7,Wed,0
2040,0.6,11,8,10,8,8,Thu,0
1440,0.5,11,76,16,9,23,Mon,0
1260,0.6,11,8,9,9,29,Sun,0
1200,0.6,11,32,22,10,7,Mon,0
1800,0.5,11,28,8,10,15,Tue,0
3180,1.0,11,3,19,10,18,Fri,0
840,0.6,11,28,7,10,28,Mon,0
1440,0.5,11,76,14,11,1,Fri,0
1800,0.5,11,8,10,11,8,Fri,0
4080,0.9,11,15,14,11,9,Sat,0
960,0.5,11,24,7,11,19,Tue,0
1800,0.5,11,8,15,12,6,Fri,0
420,4.2,11,22,0,1,1,Tue,1
240,1.3,11,15,4,1,1,Tue,1
1440,3.0,11,16,9,1,1,Tue,1
10800,9.0,11,76,10,1,1,Tue,1
480,2.8,11,10,12,1,1,Tue,1
960,5.1,11,4,14,1,1,Tue,1
540,3.7,11,13,2,1,2,Wed,1
1620,0.5,11,76,8,1,2,Wed,1
480,2.8,11,10,10,1,2,Wed,1
1800,0.5,11,11,14,1,2,Wed,1
420,1.4,11,10,15,1,2,Wed,1
300,1.8,11,10,22,1,2,Wed,1
840,5.4,11,3,2,1,3,Thu,1
540,3.1,11,21,4,1,3,Thu,1
480,1.9,11,10,11,1,3,Thu,1
600,3.4,11,10,12,1,3,Thu,1
720,2.9,11,16,22,1,3,Thu,1
3840,5.6,11,17,6,1,4,Fri,1
1200,6.4,11,3,13,1,4,Fri,1
420,1.7,11,14,0,1,5,Sat,1
300,1.3,11,15,6,1,5,Sat,1
300,1.6,11,12,6,1,5,Sat,1
420,2.0,11,15,7,1,5,Sat,1
600,3.1,11,19,9,1,5,Sat,1
360,2.1,11,10,11,1,5,Sat,1
180,0.5,11,11,15,1,5,Sat,1
300,1.4,11,10,16,1,5,Sat,1
600,3.3,11,13,22,1,5,Sat,1
2340,14.1,11,33,10,1,6,Sun,1
900,2.7,11,11,23,1,6,Sun,1
900,4.0,11,10,9,1,7,Mon,1
720,3.3,11,13,9,1,7,Mon,1
